time,term_id,address,lat,long,num_bikes,num_empty_docks,obj_id,term_num,installed,locked,install_date,removal_date,temp_install
2019-03-30 14:49:00,73,12th & Newton St NE,38.933668,-76.991016,0,11,249314538,31501,YES,NO,,,NO
2019-03-30 14:49:00,74,US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587,4,10,249314539,31220,YES,NO,,,NO
2019-03-30 14:49:00,75,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241,6,5,249314540,31218,YES,NO,,,NO
2019-03-30 14:49:00,76,10th St & Constitution Ave NW,38.893028,-77.02601299999999,30,0,249314541,31219,YES,NO,,,NO
2019-03-30 14:49:00,77,Kennedy Center,38.897293,-77.05557,14,2,249314542,31211,YES,NO,,,NO
2019-03-30 14:49:00,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.884,-76.995397,7,12,249314543,31613,YES,NO,,,NO
2019-03-30 14:49:00,79,18th & M St NW,38.905066999999995,-77.04177899999999,8,16,249314544,31221,YES,NO,,,NO
2019-03-30 14:49:00,80,Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382,1,12,249314545,31303,YES,NO,,,NO
2019-03-30 14:49:00,81,13th & H St NE,38.900022,-76.988422,14,9,249314546,31611,YES,NO,,,NO
2019-03-30 14:49:00,82,5th & F St NW,38.897222,-77.019347,0,28,249314547,31620,YES,NO,,,NO
2019-03-30 14:49:00,83,New York Ave & 15th St NW,38.899032,-77.033354,12,6,249314548,31222,YES,NO,,,NO
2019-03-30 14:49:00,84,Convention Center / 7th & M St NW,38.905736999999995,-77.02226999999999,12,9,249314549,31223,YES,NO,,,NO
2019-03-30 14:49:00,85,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,4,10,249314550,31112,YES,NO,,,NO
2019-03-30 14:49:00,86,19th & L St NW,38.903407,-77.04364799999999,0,13,249314551,31224,YES,NO,,,NO
2019-03-30 14:49:00,87,C & O Canal & Wisconsin Ave NW,38.903749999999995,-77.06269,22,1,249314552,31225,YES,NO,,,NO
2019-03-30 14:49:00,88,Maine Ave & 7th St SW,38.878693999999996,-77.023054,3,15,249314553,31609,YES,NO,,,NO
2019-03-30 14:49:00,89,D St & Maryland Ave NE,38.894757999999996,-76.997114,2,19,249314554,31612,YES,NO,,,NO
2019-03-30 14:49:00,90,34th St & Wisconsin Ave NW,38.916441999999996,-77.0682,0,8,249314555,31226,YES,NO,,,NO
2019-03-30 14:49:00,92,8th & H St NW,38.8997,-77.02308599999999,18,13,249314556,31228,YES,NO,,,NO
2019-03-30 14:49:00,93,10th & Monroe St NE,38.932514,-76.99288899999999,0,11,249314557,31504,YES,NO,,,NO
2019-03-30 14:49:00,94,Eckington Pl & Q St NE,38.910972,-77.00495,6,16,249314558,31505,YES,NO,,,NO
2019-03-30 14:49:00,95,6th & H St NE,38.899972,-76.998347,4,19,249314559,31615,YES,NO,,,NO
2019-03-30 14:49:00,96,3rd & H St NE,38.900411999999996,-77.001949,4,15,249314560,31616,YES,NO,,,NO
2019-03-30 14:49:00,97,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,7,7,249314561,31617,YES,NO,,,NO
2019-03-30 14:49:00,98,4th & East Capitol St NE,38.889955,-77.000349,4,6,249314562,31618,YES,NO,,,NO
2019-03-30 14:49:00,99,Lincoln Park / 13th & East Capitol St NE,38.890460999999995,-76.988355,10,12,249314563,31619,YES,NO,,,NO
2019-03-30 14:49:00,100,Branch & Pennsylvania Ave SE,38.8692,-76.9599,3,8,249314564,31701,YES,NO,,,NO
2019-03-30 14:49:00,101,13th & D St NE,38.894832,-76.987633,5,26,249314565,31622,YES,NO,,,NO
2019-03-30 14:49:00,102,New Hampshire Ave & T St NW,38.91554,-77.03818,1,19,249314566,31229,YES,NO,,,NO
2019-03-30 14:49:00,103,Metro Center / 12th & G St NW,38.898364,-77.027869,18,20,249314567,31230,YES,NO,,,NO
2019-03-30 14:49:00,104,14th & D St NW / Ronald Reagan Building,38.894514,-77.031617,23,0,249314568,31231,YES,NO,,,NO
2019-03-30 14:49:00,105,7th & F St NW / National Portrait Gallery,38.897312,-77.022325,10,16,249314569,31232,YES,NO,,,NO
2019-03-30 14:49:00,107,20th & O St NW / Dupont South,38.908905,-77.04478,12,5,249314570,31234,YES,NO,,,NO
2019-03-30 14:49:00,108,4th & D St NW / Judiciary Square,38.895344,-77.016106,0,13,249314571,31621,YES,NO,,,NO
2019-03-30 14:49:00,109,19th St & Constitution Ave NW,38.8923,-77.0436,28,3,249314572,31235,YES,NO,,,NO
2019-03-30 14:49:00,110,37th & O St NW / Georgetown University,38.90774,-77.071652,0,22,249314573,31236,YES,NO,,,NO
2019-03-30 14:49:00,111,11th & H St NE,38.899983,-76.991383,9,9,249314574,31614,YES,NO,,,NO
2019-03-30 14:49:00,112,25th St & Pennsylvania Ave NW,38.903827,-77.053485,9,5,249314575,31237,YES,NO,,,NO
2019-03-30 14:49:00,113,Columbus Circle / Union Station,38.89696,-77.00493,26,23,249314576,31623,YES,NO,,,NO
2019-03-30 14:49:00,114,North Capitol St & F St NW,38.897445999999995,-77.00988799999999,2,19,249314577,31624,YES,NO,,,NO
2019-03-30 14:49:00,115,11th & M St NW,38.905606999999996,-77.027137,1,18,249314578,31266,YES,NO,,,NO
2019-03-30 14:49:00,116,36th & Calvert St NW / Glover Park,38.922581,-77.070334,2,13,249314579,31304,YES,NO,,,NO
2019-03-30 14:49:00,117,14th & G St NW,38.898409,-77.03227799999999,21,2,249314580,31238,YES,NO,,,NO
2019-03-30 14:49:00,118,Potomac Ave & 35th St S,38.844015,-77.05053699999999,11,10,249314581,31052,YES,NO,,,NO
2019-03-30 14:49:00,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.884119999999996,-77.04657,20,0,249314582,31240,YES,NO,,,NO
2019-03-30 14:49:00,125,11th & F St NW,38.897856999999995,-77.026975,6,9,249314583,31262,YES,NO,,,NO
2019-03-30 14:49:00,126,23rd & E St NW,38.896104,-77.049882,0,19,249314584,31260,YES,NO,,,NO
2019-03-30 14:49:00,127,Lynn St & 19th St North,38.897315,-77.070993,0,27,249314585,31014,YES,NO,,,NO
2019-03-30 14:49:00,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.894600000000004,-77.072305,0,17,249314586,31015,YES,NO,,,NO
2019-03-30 14:49:00,129,Clarendon Blvd & Pierce St,38.893437999999996,-77.07638899999999,0,13,249314587,31016,YES,NO,,,NO
2019-03-30 14:49:00,130,Wilson Blvd & N Uhle St,38.891695999999996,-77.08460000000001,2,13,249314588,31017,YES,NO,,,NO
